profilnummer	bezeichnung	tiefe	ph_wert	carbonat_klasse	bodenart	humus_klasse	skelett_wert	skelett_klasse	dichte_klasse	gefuege1	gefuege1_anteil
1_U	Ahb	6	3.9	12	212	40	70	499	20	299	70
1_U	BvCv1	46	3.8	12	212	0	70	499	60	399	50
1_U	BvCv2	60	4.2	12	212	0	80	499	60	399	50
2_U	Ahi	3	3.7	12	313	40	25	399	10	299	100
2_U	Bv1	32	3.9	12	313	0	25	399	20	399	100
2_U	Bv2	65	4.0	12	313	0	40	399	50	399	100
3_U	Ahb1	3	4.4	12	212	30	2	199	30	299	50
3_U	Ahb2	15	4.4	12	212	30	5	199	30	299	50
3_U	BvCv1	45	4.6	12	212	20	70	499	30	450	100
3_U	BvCv2	75	4.9	12	121	0	80	499	50	450	100
3_U	IICu1	100	5.0	12	341	0	80	499	60	299	60
3_U	IIICu2	120	5.0	12	101	0	2	199	20	299	100
4_U	Arig1	20	7.3	5	212	40	60	499	20	470	80
4_U	Arig2	40	7.4	5	212	40	70	499	20	470	70
4_U	Cv	90	7.6	5	212	30	90	599	20	470	70
5_U	Ahb1	3	6.1	12	202	40	5	199	10	299	60
5_U	Ahb2	16	5.9	12	212	40	5	199	10	450	70
5_U	AhBv	30	5.9	12	212	30	35	399	30	450	100
5_U	BvCv1	40	5.7	12	332	30	60	499	60	450	80
5_U	IIBvCv2	70	5.8	12	332	30	70	499	60	450	100
6_U	Ah	5	3.1	12	121	60	0	0	10	299	50
6_U	Bv	20	3.4	12	121	50	0	0	30	450	50
7_U	Ahb1	5	5,1	12	212	50	2	199	20	470	80
7_U	Ahb2	10	5,1	12	212	50	0	0	20	470	70
7_U	AhBv	25	4,5	12	212	40	40	399	30	450	70
7_U	BvCv1	40	4,3	12	313	30	50	499	50	299	50
7_U	BvCv2	50	4,3	12	313	30	60	499	50	299	50
7_U	Cv1	75	4,1	12	332	30	80	499	50	299	60
8_U	Ahb1	2	5,3	12	212	50	0	0	20	299	100
8_U	Ahb2	10	4,9	12	212	30	20	299	30	299	50
8_U	IIBvCv1	40	4,2	12	231	30	60	499	30	299	70
8_U	IIBvCv2	70	4,6	12	231	20	90	599	30	299	80
8_U	IIBvCv3	90	4,4	12	231	20	90	599	30	299	100
8_U	IIIC	110	4,6	12	231	0	90	599	30	299	100
9_U	Ahb	10	6.4	3	212	50	40	399	20	299	80
9_U	IIAhbCv	30	5.8	12	212	40	70	499	20	299	60
9_U	IICv1	55	5.6	12	212	0	90	599	20	450	60
9_U	IIICv2	75	5.2	12	313	0	90	599	20	299	90
10_U	Ahb	30	7.1	3	212	60	60	499	10	470	80
10_U	AhCv1	65	7.3	3	212	50	90	599	20	450	90
10_U	AhCv2	90	7.4	5	313	30	90	599	20	450	100
11_U	Ahb1	3	6.2	12	202	50	5	199	20	470	50
11_U	Ahb2	20	6.8	12	332	50	20	299	20	299	50
11_U	BvCv	35	7.2	4	332	0	75	499	30	450	100
11_U	(II)Cv	50	7.2	5	332	40	80	499	30	450	100
12_U	Ahb1	18	7.3	5	202	50	2	199	10	299	50
12_U	Ahb2	52	7.4	5	202	40	2	199	10	299	70
12_U	IICu	95	7.5	5	423	0	90	599	20	399	100
13_U	Ah	6	4.2	12	212	0	0	0	10	299	60
13_U	AhCv	22	3.9	12	212	40	5	199	30	450	60
13_U	Cv	33	4.1	12	212	40	90	599	50	299	60
13_U	C	55	4.1	12	212	0	100	599	50	299	100
14_U	Ah	5	3.9	12	212	60	0	0	10	299	70
14_U	Bv1	20	4.1	12	212	40	2	199	10	299	50
14_U	Bv2	40	4.1	12	212	30	2	199	10	450	100
14_U	Bv3	55	4.1	12	212	20	25	399	20	450	100
14_U	(II)BvCv	80	4.0	12	231	20	80	499	30	450	95
16_U	Ahe	10	3.8	12	121	40	2	199	20	299	80
16_U	Bv1	30	3.6	12	121	40	2	199	20	399	100
16_U	Bv2	50	3.8	12	231	20	5	199	20	399	100
16_U	(II)BvCv1	75	4.0	12	121	30	10	199	20	399	100
16_U	IIIBvCv2	100	3.8	12	231	20	2	199	50	399	100
18_U	Ahb	20	7.1	5	121	50	70	499	20	299	100
18_U	Cv1	40	7.4	5	121	0	80	499	20	299	100
18_U	Cv2	50	7.5	5	121	0	90	599	20	299	100
18_U	Cu	55	7.5	5	121	0	90	599	20	299	100
19_U	Ahb	13	6.8	12	212	60	50	499	10	299	50
19_U	AB	45	7.1	12	313	40	70	499	20	450	60
